param_name,param_value,trial,step,polarisation,cluster_count,nn_distance
ali_weight,0.0,0,0,0.133655,60,181.105393
ali_weight,0.0,0,25,0.128837,61,182.844791
ali_weight,0.0,0,50,0.153961,58,180.329843
ali_weight,0.0,0,75,0.132243,57,177.992306
ali_weight,0.0,0,100,0.127013,56,175.527525
ali_weight,0.0,0,125,0.142157,56,176.222512
ali_weight,0.0,0,150,0.152331,58,175.959572
ali_weight,0.0,0,175,0.152312,59,175.064630
ali_weight,0.0,0,200,0.165176,59,173.501197
ali_weight,0.0,0,225,0.150099,57,172.400058
ali_weight,0.0,0,250,0.167102,58,172.475268
ali_weight,0.0,0,275,0.169550,60,175.104174
ali_weight,0.0,0,300,0.171332,58,178.658053
ali_weight,0.0,0,325,0.216848,60,178.457920
ali_weight,0.0,0,350,0.204593,59,178.670276
ali_weight,0.0,0,375,0.191408,55,175.493187
ali_weight,0.0,0,400,0.191403,53,170.838234
ali_weight,0.0,0,425,0.188726,56,166.770452
ali_weight,0.0,0,450,0.155586,54,161.217853
ali_weight,0.0,0,475,0.138302,54,156.847092
ali_weight,0.0,0,500,0.142100,53,154.215797
ali_weight,0.0,0,525,0.141391,55,155.261282
ali_weight,0.0,0,550,0.146911,56,158.438979
ali_weight,0.0,0,575,0.079991,55,158.774743
ali_weight,0.0,0,600,0.171520,52,161.258387
ali_weight,0.0,0,625,0.172024,55,165.076965
ali_weight,0.0,0,650,0.176724,56,168.834216
ali_weight,0.0,0,675,0.160811,56,177.333374
ali_weight,0.0,0,700,0.189729,56,185.755659
ali_weight,0.0,0,725,0.162597,59,191.034892
ali_weight,0.0,0,750,0.154918,62,194.820929
ali_weight,0.0,0,775,0.149205,61,196.797465
ali_weight,0.0,0,800,0.158770,59,195.243827
ali_weight,0.0,0,825,0.106456,60,190.526544
ali_weight,0.0,0,850,0.128155,57,185.883568
ali_weight,0.0,0,875,0.143990,58,182.421950
ali_weight,0.0,0,900,0.131582,55,179.338254
ali_weight,0.0,0,925,0.148734,54,176.385279
ali_weight,0.0,0,950,0.182323,51,170.764341
ali_weight,0.0,0,975,0.195013,50,166.995357
ali_weight,0.0,0,1000,0.151461,51,167.601599
ali_weight,0.0,0,1025,0.095435,53,168.798771
ali_weight,0.0,0,1050,0.109083,55,170.641709
ali_weight,0.0,0,1075,0.102510,53,172.688965
ali_weight,0.0,0,1100,0.118937,51,173.116731
ali_weight,0.0,0,1125,0.118900,51,175.859991
ali_weight,0.0,0,1150,0.099017,53,179.366810
ali_weight,0.0,0,1175,0.103367,56,180.379054
ali_weight,0.0,0,1200,0.112620,57,179.968630
ali_weight,0.0,0,1225,0.122454,55,181.827731
ali_weight,0.0,0,1250,0.158665,55,182.039796
ali_weight,0.0,0,1275,0.185745,52,183.002096
ali_weight,0.0,0,1300,0.204787,52,181.684995
ali_weight,0.0,0,1325,0.214217,48,178.204669
ali_weight,0.0,0,1350,0.186721,47,174.714593
ali_weight,0.0,0,1375,0.168952,47,171.252546
ali_weight,0.0,0,1400,0.125151,46,168.026738
ali_weight,0.0,0,1425,0.119327,46,166.690400
ali_weight,0.0,0,1450,0.082562,48,162.224595
ali_weight,0.0,0,1475,0.119269,47,156.302058
ali_weight,0.0,0,1500,0.070971,50,154.499799
ali_weight,0.0,0,1525,0.041092,51,153.353424
ali_weight,0.0,0,1550,0.066567,50,150.165767
ali_weight,0.0,0,1575,0.090179,49,147.947691
ali_weight,0.0,0,1600,0.007943,50,146.436568
ali_weight,0.0,0,1625,0.051746,48,144.446088
ali_weight,0.0,0,1650,0.083541,46,143.906636
ali_weight,0.0,0,1675,0.155074,48,146.141491
ali_weight,0.0,0,1700,0.117288,48,148.447077
ali_weight,0.0,0,1725,0.075209,46,148.858359
ali_weight,0.0,0,1750,0.048116,47,153.376170
ali_weight,0.0,0,1775,0.083834,49,153.733376
ali_weight,0.0,0,1800,0.064421,48,154.901972
ali_weight,0.0,0,1825,0.121048,48,155.364632
ali_weight,0.0,0,1850,0.141308,50,157.093224
ali_weight,0.0,0,1875,0.146705,50,157.975451
ali_weight,0.0,0,1900,0.138846,49,158.703653
ali_weight,0.0,0,1925,0.135672,52,158.984835
ali_weight,0.0,0,1950,0.151680,54,157.282316
ali_weight,0.0,0,1975,0.145828,52,155.744786
ali_weight,0.0,0,2000,0.090790,52,153.615823
ali_weight,0.0,0,2025,0.124345,53,152.038858
ali_weight,0.0,0,2050,0.104522,51,151.746100
ali_weight,0.0,0,2075,0.115257,51,150.329544
ali_weight,0.0,0,2100,0.128447,51,152.414390
ali_weight,0.0,0,2125,0.085764,55,155.065420
ali_weight,0.0,0,2150,0.095870,55,158.397634
ali_weight,0.0,0,2175,0.092535,56,164.677836
ali_weight,0.0,0,2200,0.095018,60,169.460521
ali_weight,0.0,0,2225,0.088559,59,171.254819
ali_weight,0.0,0,2250,0.117064,57,171.868112
ali_weight,0.0,0,2275,0.161732,57,173.317635
ali_weight,0.0,0,2300,0.157765,55,175.752217
ali_weight,0.0,0,2325,0.168274,55,178.490201
ali_weight,0.0,0,2350,0.158952,54,181.349768
ali_weight,0.0,0,2375,0.238675,55,180.399776
ali_weight,0.0,0,2400,0.248067,56,178.700083
ali_weight,0.0,0,2425,0.289471,56,176.593434
ali_weight,0.0,0,2450,0.240154,55,177.340260
ali_weight,0.0,0,2475,0.194060,55,177.420567
ali_weight,0.0,0,2500,0.224984,56,178.114102
ali_weight,0.0,0,2525,0.231017,55,178.570824
ali_weight,0.0,0,2550,0.233697,58,178.163398
ali_weight,0.0,0,2575,0.211802,60,176.822803
ali_weight,0.0,0,2600,0.200258,60,175.897276
ali_weight,0.0,0,2625,0.204314,59,176.331105
ali_weight,0.0,0,2650,0.172900,58,175.423400
ali_weight,0.0,0,2675,0.185313,58,173.710907
ali_weight,0.0,0,2700,0.185175,57,171.095263
ali_weight,0.0,0,2725,0.177221,55,168.374835
ali_weight,0.0,0,2750,0.239256,55,165.959240
ali_weight,0.0,0,2775,0.188199,55,164.256877
ali_weight,0.0,0,2800,0.205559,54,164.262304
ali_weight,0.0,0,2825,0.274779,52,167.152017
ali_weight,0.0,0,2850,0.231989,55,170.625425
ali_weight,0.0,0,2875,0.220228,55,172.314023
ali_weight,0.0,0,2900,0.251123,55,174.523995
ali_weight,0.0,0,2925,0.231237,61,174.016889
ali_weight,0.0,0,2950,0.251374,60,171.902547
ali_weight,0.0,0,2975,0.233274,60,170.952110
ali_weight,0.0,0,3000,0.234149,61,170.514913
ali_weight,0.0,0,3025,0.195452,60,170.720195
ali_weight,0.0,0,3050,0.197048,61,171.590487
ali_weight,0.0,0,3075,0.187137,62,172.172286
ali_weight,0.0,0,3100,0.148656,60,173.332951
ali_weight,0.0,0,3125,0.162284,57,174.719963
ali_weight,0.0,0,3150,0.149721,56,173.965564
ali_weight,0.0,0,3175,0.180739,55,174.442788
ali_weight,0.0,0,3200,0.160187,58,175.443223
ali_weight,0.0,0,3225,0.192611,56,176.343278
ali_weight,0.0,0,3250,0.204842,56,177.734715
ali_weight,0.0,0,3275,0.216071,57,178.488494
ali_weight,0.0,0,3300,0.197776,56,173.962539
ali_weight,0.0,0,3325,0.170205,61,169.887900
ali_weight,0.0,0,3350,0.220696,59,167.122107
ali_weight,0.0,0,3375,0.231951,59,167.566572
ali_weight,0.0,0,3400,0.256151,56,166.816870
ali_weight,0.0,0,3425,0.223851,56,169.691988
ali_weight,0.0,0,3450,0.217353,54,173.848421
ali_weight,0.0,0,3475,0.232718,57,177.723497
ali_weight,0.0,0,3500,0.218419,60,180.608287
ali_weight,0.0,0,3525,0.219011,61,179.974827
ali_weight,0.0,0,3550,0.218215,61,181.018780
ali_weight,0.0,0,3575,0.212812,59,181.055109
ali_weight,0.0,0,3600,0.232171,60,180.495587
ali_weight,0.0,0,3625,0.252706,63,181.001303
ali_weight,0.0,0,3650,0.239517,60,183.878115
ali_weight,0.0,0,3675,0.239647,61,187.150919
ali_weight,0.0,0,3700,0.231242,63,189.168866
ali_weight,0.0,0,3725,0.224206,65,190.396139
ali_weight,0.0,0,3750,0.229837,64,190.057177
ali_weight,0.0,0,3775,0.229476,63,188.288276
ali_weight,0.0,0,3800,0.224834,60,185.615812
ali_weight,0.0,0,3825,0.209267,60,180.830519
ali_weight,0.0,0,3850,0.210074,58,175.555298
ali_weight,0.0,0,3875,0.171229,56,171.835219
ali_weight,0.0,0,3900,0.197098,55,169.495046
ali_weight,0.0,0,3925,0.225715,54,168.731493
ali_weight,0.0,0,3950,0.183954,57,167.506507
ali_weight,0.0,0,3975,0.177584,58,166.490334
ali_weight,0.0,0,4000,0.174227,57,165.975290
ali_weight,0.0,0,4025,0.173837,58,164.482628
ali_weight,0.0,0,4050,0.141061,56,165.741116
ali_weight,0.0,0,4075,0.130619,56,168.340732
ali_weight,0.0,0,4100,0.125387,56,171.601493
ali_weight,0.0,0,4125,0.135149,60,175.255290
ali_weight,0.0,0,4150,0.159381,64,178.935792
ali_weight,0.0,0,4175,0.125745,61,180.297447
ali_weight,0.0,0,4200,0.177566,61,179.145017
ali_weight,0.0,0,4225,0.167551,57,177.005590
ali_weight,0.0,0,4250,0.154437,57,174.097498
ali_weight,0.0,0,4275,0.146401,55,169.261978
ali_weight,0.0,0,4300,0.168114,51,164.466296
ali_weight,0.0,0,4325,0.149159,50,158.494672
ali_weight,0.0,0,4350,0.111278,49,155.750727
ali_weight,0.0,0,4375,0.100104,53,155.098095
ali_weight,0.0,0,4400,0.087333,52,155.591105
ali_weight,0.0,0,4425,0.110759,48,155.438665
ali_weight,0.0,0,4450,0.113410,48,155.582065
ali_weight,0.0,0,4475,0.087517,47,159.277014
ali_weight,0.0,0,4500,0.054074,46,162.546132
ali_weight,0.0,0,4525,0.108829,46,164.980872
ali_weight,0.0,0,4550,0.145828,46,163.872390
ali_weight,0.0,0,4575,0.133274,48,161.463223
ali_weight,0.0,0,4600,0.215706,48,159.331738
ali_weight,0.0,0,4625,0.208857,45,157.324364
ali_weight,0.0,0,4650,0.195143,40,158.550816
ali_weight,0.0,0,4675,0.157282,41,160.847806
ali_weight,0.0,0,4700,0.169944,44,164.580125
ali_weight,0.0,0,4725,0.226406,48,168.290847
ali_weight,0.0,0,4750,0.239674,49,173.406049
ali_weight,0.0,0,4775,0.168181,52,177.900669
ali_weight,0.0,0,4800,0.159848,52,178.754613
ali_weight,0.0,0,4825,0.197766,51,177.490658
ali_weight,0.0,0,4850,0.246231,48,177.811928
ali_weight,0.0,0,4875,0.273583,49,179.729814
ali_weight,0.0,0,4900,0.314071,52,180.663648
ali_weight,0.0,0,4925,0.281242,54,180.856687
ali_weight,0.0,0,4950,0.305870,53,180.711509
ali_weight,0.0,0,4975,0.229448,53,176.313200
ali_weight,0.0,0,5000,0.212123,53,172.964813
ali_weight,0.0,1,0,0.150508,57,161.007877
ali_weight,0.0,1,25,0.178076,59,164.057673
ali_weight,0.0,1,50,0.166169,60,166.733339
ali_weight,0.0,1,75,0.097523,62,168.427210
ali_weight,0.0,1,100,0.082462,60,169.572329
ali_weight,0.0,1,125,0.084288,59,170.581429
ali_weight,0.0,1,150,0.094677,57,169.763345
ali_weight,0.0,1,175,0.104466,58,169.699780
ali_weight,0.0,1,200,0.084909,60,168.428593
ali_weight,0.0,1,225,0.107559,58,164.056693
ali_weight,0.0,1,250,0.125415,57,161.947961
ali_weight,0.0,1,275,0.113326,56,160.623365
ali_weight,0.0,1,300,0.080432,54,162.126120
ali_weight,0.0,1,325,0.065240,56,163.663282
ali_weight,0.0,1,350,0.078329,57,166.095566
ali_weight,0.0,1,375,0.094665,57,167.240163
ali_weight,0.0,1,400,0.122980,58,165.871862
ali_weight,0.0,1,425,0.151857,56,163.508230
ali_weight,0.0,1,450,0.165153,52,162.832000
ali_weight,0.0,1,475,0.085400,51,162.516432
ali_weight,0.0,1,500,0.070505,49,164.002225
ali_weight,0.0,1,525,0.080933,49,165.660382
ali_weight,0.0,1,550,0.066318,50,168.489474
ali_weight,0.0,1,575,0.072192,50,169.141572
ali_weight,0.0,1,600,0.106043,52,170.254334
ali_weight,0.0,1,625,0.122389,50,172.914392
ali_weight,0.0,1,650,0.110091,52,174.628266
ali_weight,0.0,1,675,0.068204,50,176.903305
ali_weight,0.0,1,700,0.038444,49,179.725069
ali_weight,0.0,1,725,0.070832,50,182.458974
ali_weight,0.0,1,750,0.121383,53,179.211861
ali_weight,0.0,1,775,0.081308,51,174.940934
ali_weight,0.0,1,800,0.091480,49,168.801105
ali_weight,0.0,1,825,0.115190,47,166.813055
ali_weight,0.0,1,850,0.082405,47,162.627331
ali_weight,0.0,1,875,0.104873,48,160.546395
ali_weight,0.0,1,900,0.046812,48,164.161986
ali_weight,0.0,1,925,0.075977,51,167.729625
ali_weight,0.0,1,950,0.026064,54,171.327007
ali_weight,0.0,1,975,0.007010,55,175.949202
ali_weight,0.0,1,1000,0.047716,54,180.206073
ali_weight,0.0,1,1025,0.081003,56,182.467672
ali_weight,0.0,1,1050,0.150075,58,182.351571
ali_weight,0.0,1,1075,0.105089,58,181.076986
ali_weight,0.0,1,1100,0.115735,59,178.981786
ali_weight,0.0,1,1125,0.121481,65,178.748200
ali_weight,0.0,1,1150,0.092129,64,179.349837
